                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.6092,                 1.4689,                  1.391,                0.87427,                0.67216,                0.85231,                0.70125,                 1.4866,                 1.4251,                 1.5119,              0.0016076,              0.0016076,              0.0016076
                     75,                  1.603,                 1.4766,                 1.4225,                0.81595,                0.70382,                0.85255,                0.71284,                 1.4566,                 1.4191,                 1.4889,              0.0016068,              0.0016068,              0.0016068
                     76,                 1.5699,                   1.48,                 1.4651,                0.90826,                0.73007,                 0.8588,                0.66304,                 1.4966,                 1.3099,                 1.5513,              0.0016059,              0.0016059,              0.0016059
                     77,                 1.4715,                 1.2359,                 1.3875,                0.90124,                0.75677,                0.85996,                0.61433,                 1.4043,                 1.3381,                 1.5187,              0.0016051,              0.0016051,              0.0016051
                     78,                 1.4856,                 1.3897,                 1.2938,                0.54704,                 0.7971,                0.84532,                0.65888,                 1.5143,                 1.5044,                 1.5611,              0.0016043,              0.0016043,              0.0016043
                     79,                 1.5537,                 1.4905,                 1.3957,                0.95405,                0.73608,                0.85148,                0.57204,                 1.4077,                 1.2719,                 1.4918,              0.0016035,              0.0016035,              0.0016035
                     80,                 1.4691,                 1.3101,                 1.3408,                0.81303,                0.70238,                0.86552,                0.68099,                 1.4407,                 1.3006,                 1.5096,              0.0016026,              0.0016026,              0.0016026
                     81,                 1.4818,                 1.2662,                 1.3349,                0.83888,                0.74323,                0.85486,                0.62384,                  1.435,                 1.2829,                 1.5013,              0.0016018,              0.0016018,              0.0016018
                     82,                 1.5588,                 1.3097,                  1.334,                0.80634,                 0.7504,                0.84315,                0.65417,                 1.4373,                 1.3148,                  1.492,               0.001601,               0.001601,               0.001601
                     83,                 1.4637,                 1.2848,                 1.3551,                0.82926,                 0.6714,                0.83686,                0.60245,                 1.4654,                 1.3825,                 1.5209,              0.0016002,              0.0016002,              0.0016002
                     84,                 1.4717,                 1.3124,                 1.4644,                0.86451,                 0.6804,                0.83865,                0.60726,                 1.4014,                 1.3299,                 1.4833,              0.0015993,              0.0015993,              0.0015993
